Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,107,0.3408762947,107,0.3408762947,-12.48977043,-10.36121634,0,0,0,0,-12.43456044,-41.37386704,0,0,0,0,-12.48977043,-10.36121634,0,0,0,0,-12.43456044,-41.37386704,0,0,0,0
q1,1,115,0.6443782947,129,0.259061065,-6.55024913,-10.57675345,0,0,0,0,-6.503836192,-41.66418207,0,0,0,0,-12.44208555,-0.8402353964,3.27637663,-0.007905110429,0.07816256183,-0.007926614117,-8.693872565,-41.14386311,-1.036204378,-0.007935117,-0.04291866978,-0.007926614118
peak,1,124,0.9716474571,166,0.3481561703,0.1830272817,-10.82109484,0,0,0,0,0.2194675324,-41.99329468,0,0,0,0,1.334593301,4.61944425,5.95694462,-0.009982693103,0.2184017987,-0.009921470726,1.261240377,-41.92330911,-1.970766226,-0.009918101011,-0.06628181445,-0.009921470727
q3,1,132,0.6781051008,202,0.2033129987,6.156758547,-11.03787337,0,0,0,0,6.184351076,-42.28528184,0,0,0,0,14.22310968,-2.080934352,2.878256878,-0.00793054402,0.06394921901,-0.007926614117,11.0560162,-41.7865961,-0.8936816961,-0.007918922936,-0.04033793285,-0.007926614117
Tail,1,147,0.3404011707,226,0.3404011707,17.14344082,-11.43656504,0,0,0,0,17.15476093,-42.82229465,0,0,0,0,17.14344082,-11.43656504,0,0,0,0,17.15476093,-42.82229465,0,0,0,0
